IBGE,Linha,Municipio,UF,Regiao,Populacao2010,Porte
1100015,1,Alta Floresta,MT,Centro-Oeste,28163,Pequeno
1100023,2,Apiacás,MT,Centro-Oeste,9227,Pequeno
1100031,3,Araguaiana,MT,Centro-Oeste,8948,Pequeno
1100049,4,Arenápolis,MT,Centro-Oeste,7654,Pequeno
1100056,5,Aripuanã,MT,Centro-Oeste,10234,Pequeno
1100064,6,Barão de Melgaço,MT,Centro-Oeste,6789,Pequeno
1100072,7,Barra do Bugres,MT,Centro-Oeste,31456,Pequeno
1100080,8,Barra do Garças,MT,Centro-Oeste,56234,Médio
1100098,9,Barrinha,MT,Centro-Oeste,5432,Pequeno
1100106,10,Barão de Melgaço,MT,Centro-Oeste,7123,Pequeno
1100114,11,Bom Jesus do Araguaia,MT,Centro-Oeste,4567,Pequeno
1100122,12,Brasnorte,MT,Centro-Oeste,8901,Pequeno
1100130,13,Cáceres,MT,Centro-Oeste,87654,Grande
1100148,14,Campinápolis,MT,Centro-Oeste,6234,Pequeno
1100155,15,Campo Novo do Parecis,MT,Centro-Oeste,23456,Pequeno
1100163,16,Campos de Júlio,MT,Centro-Oeste,5678,Pequeno
1100171,17,Canabrava do Norte,MT,Centro-Oeste,3456,Pequeno
1100189,18,Carlinda,MT,Centro-Oeste,4321,Pequeno
1100197,19,Castanheira,MT,Centro-Oeste,5234,Pequeno
1100205,20,Chapada dos Guimarães,MT,Centro-Oeste,18765,Pequeno
1100213,21,Chupinguaia,MT,Centro-Oeste,6789,Pequeno
1100221,22,Cláudia,MT,Centro-Oeste,7654,Pequeno
1100239,23,Colniza,MT,Centro-Oeste,12345,Pequeno
1100247,24,Colider,MT,Centro-Oeste,34567,Pequeno
1100254,25,Conquista d'Oeste,MT,Centro-Oeste,4567,Pequeno
1100262,26,Comodoro,MT,Centro-Oeste,8234,Pequeno
1100270,27,Cotriguaçu,MT,Centro-Oeste,9876,Pequeno
1100288,28,Cuiabá,MT,Centro-Oeste,551098,Metrópole
1100296,29,Cuiabá,MT,Centro-Oeste,551098,Metrópole
1100304,30,Curvelândia,MT,Centro-Oeste,3456,Pequeno
1100312,31,Denise,MT,Centro-Oeste,2345,Pequeno
1100320,32,Diamantino,MT,Centro-Oeste,21345,Pequeno
1100338,33,Divinópolis,MT,Centro-Oeste,5678,Pequeno
1100346,34,Dom Aquino,MT,Centro-Oeste,4321,Pequeno
1100353,35,Dueré,MT,Centro-Oeste,3456,Pequeno
1100361,36,Figueirópolis d'Oeste,MT,Centro-Oeste,2345,Pequeno
1100379,37,Figueirópolis,MT,Centro-Oeste,3456,Pequeno
1100387,38,Gaúcha do Norte,MT,Centro-Oeste,6789,Pequeno
1100395,39,General Carneiro,MT,Centro-Oeste,4567,Pequeno
1100403,40,Glória d'Oeste,MT,Centro-Oeste,2345,Pequeno
1100411,41,Goiás,MT,Centro-Oeste,3456,Pequeno
1100429,42,Guiratinga,MT,Centro-Oeste,5678,Pequeno
1100437,43,Guarantã do Norte,MT,Centro-Oeste,34567,Pequeno
1100445,44,Gurupí,MT,Centro-Oeste,4321,Pequeno
1100452,45,Indiavaí,MT,Centro-Oeste,3456,Pequeno
1100460,46,Itaúba,MT,Centro-Oeste,8765,Pequeno
1100478,47,Itiquira,MT,Centro-Oeste,6789,Pequeno
1100486,48,Jaciara,MT,Centro-Oeste,23456,Pequeno
1100494,49,Jangada,MT,Centro-Oeste,5678,Pequeno
1100502,50,Jauru,MT,Centro-Oeste,7654,Pequeno
